PCA,iGroups,jGroup,P-value,BH adjusted p-value
PC1,CNP,SP,0.000451334976180349,0.0947803449978733
PC1,CRP,SP,0.00226286972612524,0.158400880828767
PC1,LR,SP,0.00167644003330651,0.158400880828767
PC3,CNP,LR,0.00436488053073048,0.22915622786335
PC1,SP,SNP,0.0119013487416945,0.309574087855101
PC2,LR,SNP,0.0125977545567455,0.309574087855101
PC2,SP,SNP,0.0120347769998473,0.309574087855101
PC3,CRP,LR,0.0147416232311953,0.309574087855101
PC15,CRP,SP,0.0114668935615929,0.309574087855101
PC15,CNP,SP,0.0135754106073378,0.309574087855101
PC1,CNP,SNP,0.018399963667161,0.3512720336458
PC1,CRP,CNP,0.0225801932408179,0.37731217484626
PC1,CNP,LR,0.0251541449897507,0.37731217484626
PC2,CRP,SNP,0.0238098007888175,0.37731217484626
PC1,CRP,SNP,0.0361079632594594,0.379133614224324
PC1,LR,SNP,0.0317784792806501,0.379133614224324
PC4,CRP,CNP,0.035369084732119,0.379133614224324
PC4,CRP,SP,0.0308397531474785,0.379133614224324
PC15,LR,SP,0.0290650299956474,0.379133614224324
PC15,SP,SNP,0.0334907156463892,0.379133614224324
PC2,CNP,LR,0.0569487536387883,0.478369530565822
PC2,CNP,SNP,0.0557679923441946,0.478369530565822
PC4,CRP,LR,0.0541636402632188,0.478369530565822
PC5,CRP,LR,0.0520254605013155,0.478369530565822
PC5,CNP,LR,0.0530965027773206,0.478369530565822
PC3,LR,SP,0.0749839692949071,0.605639751997327
PC5,LR,SP,0.0811118614942089,0.608338961206567
PC15,CRP,SNP,0.0785449962745553,0.608338961206567
PC4,CNP,SNP,0.097340339353422,0.704878319455814
PC6,CRP,SNP,0.106306334751424,0.74414434325997
PC1,CRP,LR,0.126050317342583,0.849884655632678
PC4,CRP,SNP,0.139439754139906,0.849884655632678
PC5,CNP,SP,0.141647442605446,0.849884655632678
PC6,CRP,LR,0.129640760663576,0.849884655632678
PC15,CNP,SNP,0.141099655568675,0.849884655632678
PC4,CNP,LR,0.150498748948771,0.877909368867833
PC2,CRP,LR,0.160255632960317,0.898594579123537
PC2,CNP,SP,0.162602828603307,0.898594579123537
PC1,CRP,CRP,1,1
PC1,CNP,CNP,1,1
PC1,LR,LR,1,1
PC1,SP,SP,1,1
PC2,CRP,CRP,1,1
PC2,CRP,CNP,0.357845589940432,1
PC2,CRP,SP,0.286105655478628,1
PC2,CNP,CNP,1,1
PC2,LR,LR,1,1
PC2,LR,SP,0.9148181668984,1
PC2,SP,SP,1,1
PC3,CRP,CRP,1,1
PC3,CRP,CNP,0.205120610219929,1
PC3,CRP,SP,0.775581763549366,1
PC3,CRP,SNP,0.927310012864712,1
PC3,CNP,CNP,1,1
PC3,CNP,SP,0.265288989652436,1
PC3,CNP,SNP,0.548940099722729,1
PC3,LR,LR,1,1
PC3,LR,SNP,0.227329755561362,1
PC3,SP,SP,1,1
PC3,SP,SNP,0.944461315762431,1
PC4,CRP,CRP,1,1
PC4,CNP,CNP,1,1
PC4,CNP,SP,0.277786096243149,1
PC4,LR,LR,1,1
PC4,LR,SP,0.351139685177117,1
PC4,LR,SNP,0.552191362939461,1
PC4,SP,SP,1,1
PC4,SP,SNP,0.245804837218573,1
PC5,CRP,CRP,1,1
PC5,CRP,CNP,0.521304430555705,1
PC5,CRP,SP,0.262354683929974,1
PC5,CRP,SNP,0.34129562060854,1
PC5,CNP,CNP,1,1
PC5,CNP,SNP,0.447938343740032,1
PC5,LR,LR,1,1
PC5,LR,SNP,0.890305733536429,1
PC5,SP,SP,1,1
PC5,SP,SNP,0.593457226042255,1
PC6,CRP,CRP,1,1
PC6,CRP,CNP,0.199171677145579,1
PC6,CRP,SP,0.71139335614476,1
PC6,CNP,CNP,1,1
PC6,CNP,LR,0.518622304767092,1
PC6,CNP,SP,0.658542522075334,1
PC6,CNP,SNP,0.374547432665786,1
PC6,LR,LR,1,1
PC6,LR,SP,0.484596088991342,1
PC6,LR,SNP,0.999673403634612,1
PC6,SP,SP,1,1
PC6,SP,SNP,0.474360598066455,1
PC7,CRP,CRP,1,1
PC7,CRP,CNP,0.791888336609155,1
PC7,CRP,LR,0.809598820932878,1
PC7,CRP,SP,0.934137288066326,1
PC7,CRP,SNP,0.778030983232528,1
PC7,CNP,CNP,1,1
PC7,CNP,LR,0.706453041505732,1
PC7,CNP,SP,0.910120140885311,1
PC7,CNP,SNP,0.654491939542131,1
PC7,LR,LR,1,1
PC7,LR,SP,0.790736433194724,1
PC7,LR,SNP,0.96195313269026,1
PC7,SP,SP,1,1
PC7,SP,SNP,0.780167910064598,1
PC8,CRP,CRP,1,1
PC8,CRP,CNP,0.732004174126301,1
PC8,CRP,LR,0.734384268964595,1
PC8,CRP,SP,0.815112128458556,1
PC8,CRP,SNP,0.731414472557585,1
PC8,CNP,CNP,1,1
PC8,CNP,LR,0.988517240035082,1
PC8,CNP,SP,0.947051349125455,1
PC8,CNP,SNP,0.984396831130953,1
PC8,LR,LR,1,1
PC8,LR,SP,0.943679000098302,1
PC8,LR,SNP,0.997299165299329,1
PC8,SP,SP,1,1
PC8,SP,SNP,0.941623189962998,1
PC9,CRP,CRP,1,1
PC9,CRP,CNP,0.278926985918762,1
PC9,CRP,LR,0.621312114266452,1
PC9,CRP,SP,0.570068312638507,1
PC9,CRP,SNP,0.559858668697472,1
PC9,CNP,CNP,1,1
PC9,CNP,LR,0.915255638049858,1
PC9,CNP,SP,0.789855362729233,1
PC9,CNP,SNP,0.494519295155918,1
PC9,LR,LR,1,1
PC9,LR,SP,0.936887682631069,1
PC9,LR,SNP,0.818976465009108,1
PC9,SP,SP,1,1
PC9,SP,SNP,0.840619522039455,1
PC10,CRP,CRP,1,1
PC10,CRP,CNP,0.764439315387203,1
PC10,CRP,LR,0.897000518671253,1
PC10,CRP,SP,0.986593224741254,1
PC10,CRP,SNP,0.956495831303538,1
PC10,CNP,CNP,1,1
PC10,CNP,LR,0.710891555998561,1
PC10,CNP,SP,0.741385333265438,1
PC10,CNP,SNP,0.779048059400579,1
PC10,LR,LR,1,1
PC10,LR,SP,0.897149346885223,1
PC10,LR,SNP,0.963858269462303,1
PC10,SP,SP,1,1
PC10,SP,SNP,0.96188520387187,1
PC11,CRP,CRP,1,1
PC11,CRP,CNP,0.618023892235755,1
PC11,CRP,LR,0.734569265009142,1
PC11,CRP,SP,0.725147660876897,1
PC11,CRP,SNP,0.832743514996463,1
PC11,CNP,CNP,1,1
PC11,CNP,LR,0.724984671304435,1
PC11,CNP,SP,0.809724834818896,1
PC11,CNP,SNP,0.664486278681638,1
PC11,LR,LR,1,1
PC11,LR,SP,0.896308744080839,1
PC11,LR,SNP,0.843295298486026,1
PC11,SP,SP,1,1
PC11,SP,SNP,0.799671156071611,1
PC12,CRP,CRP,1,1
PC12,CRP,CNP,0.651078454839187,1
PC12,CRP,LR,0.902291188705198,1
PC12,CRP,SP,0.753334124545492,1
PC12,CRP,SNP,0.939479978076039,1
PC12,CNP,CNP,1,1
PC12,CNP,LR,0.726659417375624,1
PC12,CNP,SP,0.763827241781667,1
PC12,CNP,SNP,0.743219426231486,1
PC12,LR,LR,1,1
PC12,LR,SP,0.897151234215053,1
PC12,LR,SNP,0.983771475202678,1
PC12,SP,SP,1,1
PC12,SP,SNP,0.905686734205333,1
PC13,CRP,CRP,1,1
PC13,CRP,CNP,0.700474158918417,1
PC13,CRP,LR,0.562237488782139,1
PC13,CRP,SP,0.613447505403472,1
PC13,CRP,SNP,0.417376290198293,1
PC13,CNP,CNP,1,1
PC13,CNP,LR,0.881417872976861,1
PC13,CNP,SP,0.998335251419567,1
PC13,CNP,SNP,0.892351130452289,1
PC13,LR,LR,1,1
PC13,LR,SP,0.867075840378719,1
PC13,LR,SNP,0.735767821600793,1
PC13,SP,SP,1,1
PC13,SP,SNP,0.853874876071532,1
PC14,CRP,CRP,1,1
PC14,CRP,CNP,0.986287284466454,1
PC14,CRP,LR,0.934633347151277,1
PC14,CRP,SP,0.938466164038908,1
PC14,CRP,SNP,0.997073140894748,1
PC14,CNP,CNP,1,1
PC14,CNP,LR,0.872328656670499,1
PC14,CNP,SP,0.840105835137451,1
PC14,CNP,SNP,0.941789369452537,1
PC14,LR,LR,1,1
PC14,LR,SP,0.983885840929291,1
PC14,LR,SNP,0.805450253741496,1
PC14,SP,SP,1,1
PC14,SP,SNP,0.634326484494326,1
PC15,CRP,CRP,1,1
PC15,CRP,CNP,0.382286241802017,1
PC15,CRP,LR,0.188104494877558,1
PC15,CNP,CNP,1,1
PC15,CNP,LR,0.325041598093465,1
PC15,LR,LR,1,1
PC15,LR,SNP,0.698398240454753,1
PC15,SP,SP,1,1